Addr.,Name,Bits,Bit Name,Settings,Description,Reset,Access
0x000,SPI_INTFCONFA,7,SOFTRESET_M,,Soft reset (mirror). Set this bit to mirror Bit 0.,0x0,R
"",,6,LSBFIRST_M,,LSB first (mirror). Set this bit to mirror Bit 1.,0x0,R
"",,5,ADDRINC_M,,Address increment (mirror). Set this bit to,0x0,R
"",,,,,mirror Bit 2.,,
"",,4,SDOACTIVE_M,,SDO active (mirror). Set this bit to mirror Bit 3.,0x0,R
"",,3,SDOACTIVE,,SDO active. Enables 4-wire SPI bus mode.,0x0,R/W
"",,2,ADDRINC,,"Address increment. When set, this bit",0x0,R/W
"",,,,,causes incrementing streaming addresses;,,
"",,,,,"otherwise, descending addresses are",,
"",,,,,generated.,,
"",,,,1,Streaming addresses are incremented.,,
"",,,,0,Streaming addresses are decremented.,,
"",,1,LSBFIRST,,"LSB first. When set, this bit causes SPI input",0x0,R/W
"",,,,,and output data to be oriented as LSB first.,,
"",,,,,"If this bit is clear, data is oriented as MSB first.",,
"",,,,1,Shift LSB in first.,,
"",,,,0,Shift MSB in first.,,
"",,0,SOFTRESET,,Soft reset. This bit automatically clears to 0,0x0,R/W
"",,,,,after performing a reset operation. Setting,,
"",,,,,this bit initiates a reset. This bit autoclears,,
"",,,,,after the soft reset is complete.,,
"",,,,1,Pulse the soft reset line.,,
"",,,,0,Reset the soft reset line.,,
0x001,SPI_INTFCONFB,7,SINGLEINS,,Single instruction.,0x0,R/W
"",,,,1,Perform single transfers.,,
"",,,,0,Perform multiple transfers.,,
"",,6,CSSTALL,,CS stalling.,0x0,R/W
"",,,,0,Disable CS stalling.,,
"",,,,1,Enable CS stalling.,,
"",,[5:0],RESERVED,,Reserved.,0x0,R/W
0x003,SPI_CHIPTYPE,[7:0],CHIP_TYPE,,Chip type.,0x4,R
0x004,SPI_PRODIDL,[7:0],PROD_ID[7:0],,Product ID. Updated once the bootloader,0x72,R
"",,,,,completes,,
0x005,SPI_PRODIDH,[7:0],PROD_ID[15:8],,Product ID. Updated once the bootloader,0x91,R
"",,,,,completes,,
0x006,SPI_CHIPGRADE,[7:4],PROD_GRADE,,Product grade.,0x0,R
"",,[3:0],DEV_REVISION,,Device revision.,0x4,R
0x008,SPI_PAGEINDX,[7:6],MAINDAC_PAGE,,Sets the main DAC paging. Each high bit in,0x3,R/W
"",,,,,this field pages a DAC starting at the LSB.,,
"",,,,,Both main DACs can be paged and,,
"",,,,,programmed at the same time if desired.,,
"",,[5:0],CHANNEL_PAGE,,Sets channel paging. Each high bit in this,0x3F,R/W
"",,,,,field pages a complex channel starting at,,
"",,,,,the LSB. Multiple channels can be paged,,
"",,,,,and programmed at a time if desired.,,
0x00A,SPI_SCRATCHPAD,[7:0],SCRATCHPAD,,Scratch pad read/write register.,0x0,R/W
0x010,CHIP_ID_L,[7:0],CHIP_ID[7:0],,Chip ID serial number.,0x0,R
0x011,CHIP_ID_M1,[7:0],CHIP_ID[15:8],,Chip ID serial number.,0x0,R
0x012,CHIP_ID_M2,[7:0],CHIP_ID[23:16],,Chip ID serial number.,0x0,R
0x013,CHIP_ID_H,[7:0],CHIP_ID[31:24],,Chip ID serial number.,0x0,R
Addr.,Name,Bits,Bit Name,Settings,Description,Reset,Access
0x020,IRQ_ENABLE,[7:5],RESERVED,,Reserved.,0x0,R
"",,4,EN_SYSREF_JITTER,,Enable SYSREF± jitter interrupt.,0x0,R/W
"",,3,EN_DATA_READY,,Enable JESD204B receiver ready,0x0,R/W
"",,,,,(JRX_DATA_READY) low interrupt.,,
"",,2,EN_LANE_FIFO,,Enable lane FIFO overflow/underflow,0x0,R/W
"",,,,,interrupt.,,
"",,1,EN_PRBSQ,,Enable PRBS imaginary error interrupt.,0x0,R/W
"",,0,EN_PRBSI,,Enable PRBS real error interrupt.,0x0,R/W
0x021,IRQ_ENABLE0,[7:4],RESERVED,,Reserved.,0x0,R
"",,3,EN_DAC0_CAL_,,Enable DAC0 calibration complete interrupt.,0x0,R/W
"",,,DONE,,,,
"",,[2:1],RESERVED,,Reserved.,0x0,R/W
"",,0,EN_PAERR0,,Enable PA protection error interrupt for,0x0,R/W
"",,,,,DAC0.,,
0x022,IRQ_ENABLE1,[7:4],RESERVED,,Reserved.,0x0,R
"",,3,EN_DAC1_CAL_,,Enable DAC1 calibration complete interrupt.,0x0,R/W
"",,,DONE,,,,
"",,[2:1],RESERVED,,Reserved.,0x0,R/W
"",,0,EN_PAERR1,,Enable PA protection error interrupt for,0x0,R/W
"",,,,,DAC1.,,
0x023,IRQ_ENABLE2,[7:6],RESERVED,,Reserved.,0x0,R
"",,5,EN_DLL_LOST,,Enable DLL lock lost interrupt.,0x0,R/W
"",,4,EN_DLL_LOCK,,Enable DLL lock interrupt.,0x0,R/W
"",,[3:2],RESERVED,,Reserved.,0x0,R/W
"",,1,EN_PLL_LOST,,Enable PLL lock lost interrupt.,0x0,R/W
"",,0,EN_PLL_LOCK,,Enable PLL lock interrupt.,0x0,R/W
0x024,IRQ_STATUS,[7:5],RESERVED,,Reserved.,0x0,R
"",,4,IRQ_SYSREF_JITTER,,SYSREF± jitter too large. If EN_SYSREF_JITTER,0x0,R/W
"",,,,,"is low, IRQ_SYSREF_JITTER shows the current",,
"",,,,,"status. If EN_SYSREF_JITTER is high, IRQ_",,
"",,,,,SYSREF_JITTER latches and pulls the IRQx pin,,
"",,,,,low (x = the MUX_SYSREF_JITTER setting).,,
"",,,,,Writing a 1 to IRQ_SYSREF_JITTER when,,
"",,,,,latched clears the bit.,,
"",,3,IRQ_DATA_READY,,JESD204x receiver data ready is low. If,0x0,R/W
"",,,,,"EN_DATA_READY is low, IRQ_DATA_READY",,
"",,,,,shows the current status. If EN_DATA_,,
"",,,,,"READY is high, IRQ_DATA_READY latches",,
"",,,,,and pulls the IRQx pin low (x = MUX_,,
"",,,,,DATA_READY setting). Writing a 1 to IRQ_,,
"",,,,,DATA_READY when latched clears the bit.,,
"",,2,IRQ_LANE_FIFO,,Lane FIFO overflow/underflow. If EN_,0x0,R/W
"",,,,,"LANE_FIFO is low, IRQ_LANE_FIFO shows",,
"",,,,,the current status. If EN_LANE_FIFO is,,
"",,,,,"high, IRQ_LANE_FIFO latches and pulls the",,
"",,,,,IRQx pin low (x = MUX_LANE_FIFO,,
"",,,,,setting). Writing a 1 to IRQ_LANE_FIFO,,
"",,,,,when latched clears the bit.,,
"",,1,IRQ_PRBSQ,,"DAC1 PRBS error. If EN_PRBSQ is low,",0x0,R/W
"",,,,,IRQ_PRBSQ shows the current status. If,,
"",,,,,"EN_PRBSQ is high, IRQ_PRBSQ latches and",,
"",,,,,pulls the IRQx pin low (x = MUX_PRBSQ,,
"",,,,,setting). Writing a 1 to IRQ_PRBSQ when,,
"",,,,,latched clears the bit.,,
Addr.,Name,Bits,Bit Name,Settings,Description,Reset,Access
"",,0,IRQ_PRBSI,,"DAC0 PRBS error. If EN_PRBSI is low, IRQ_",0x0,R/W
"",,,,,PRBSI shows the current status. If EN_,,
"",,,,,"PRBSI is high, IRQ_PRBSI latches and pulls",,
"",,,,,the IRQx pin low (x = MUX_PRBSI setting).,,
"",,,,,Writing a 1 to IRQ_PRBSI when latched,,
"",,,,,clears the bit.,,
0x025,IRQ_STATUS0,[7:4],RESERVED,,Reserved.,0x0,R
"",,3,IRQ_DAC0_CAL_,,DAC0 calibration done. If EN_DAC0_CAL_,0x0,R/W
"",,,DONE,,"DONE is low, IRQ_DAC0_CAL_DONE shows",,
"",,,,,the current status. If EN_DAC0_CAL_DONE,,
"",,,,,"is high, IRQ_DAC0_CAL_DONE latches and",,
"",,,,,pulls the IRQx pin low (x = MUX_DAC0_,,
"",,,,,CAL_DONE setting). Writing a 1 to IRQ_,,
"",,,,,DAC0_CAL_DONE when latched clears the,,
"",,,,,bit.,,
"",,[2:1],RESERVED,,Reserved.,0x0,R/W
"",,0,IRQ_PAERR0,,"DAC0 PA error. If EN_PAERR0 is low, IRQ_",0x0,R/W
"",,,,,PAERR0 shows the current status. If EN_,,
"",,,,,"PAERR0 is high, IRQ_PAERR0 latches and",,
"",,,,,pulls the IRQx pin low (x = MUX_PAERR0,,
"",,,,,setting). Writing a 1 to IRQ_PAERR0 when,,
"",,,,,latched clears the bit.,,
0x026,IRQ_STATUS1,[7:4],RESERVED,,Reserved.,0x0,R
"",,3,IRQ_DAC1_CAL_,,DAC1 calibration done. If EN_DAC0_CAL_,0x0,R/W
"",,,DONE,,"DONE is low, IRQ_DAC1_CAL_DONE shows",,
"",,,,,the current status. If EN_DAC1_CAL_DONE,,
"",,,,,"is high, IRQ_DAC1_CAL_DONE latches and",,
"",,,,,pulls the IRQx pin low (x = MUX_DAC1_,,
"",,,,,CAL_DONE setting). Writing a 1 to IRQ_,,
"",,,,,DAC1_CAL_DONE when latched clears the,,
"",,,,,bit.,,
"",,[2:1],RESERVED,,Reserved.,0x0,R/W
"",,0,IRQ_PAERR1,,"DAC1 PA error. If EN_PAERR1 is low, IRQ_",0x0,R/W
"",,,,,PAERR1 shows the current status. If EN_,,
"",,,,,"PAERR1 is high, IRQ_PAERR1 latches and",,
"",,,,,pulls the IRQx pin low (x = MUX_PAERR1,,
"",,,,,setting). Writing a 1 to IRQ_PAERR1 when,,
"",,,,,latched clears the bit.,,
0x027,IRQ_STATUS2,[7:6],RESERVED,,Reserved.,0x0,R
"",,5,IRQ_DLL_LOST,,"DLL lost. If EN_DLL_LOST is low, IRQ_DLL_",0x0,R/W
"",,,,,LOST shows the current status. If EN_DLL_,,
"",,,,,"LOST is high, IRQ_DLL_LOST latches and",,
"",,,,,pulls the IRQx pin low (x = MUX_DLL_LOST,,
"",,,,,setting). Writing a 1 to IRQ_DLL_LOST,,
"",,,,,when latched clears the bit.,,
"",,4,IRQ_DLL_LOCK,,"DLL locked. If EN_DLL_LOCK is low, IRQ_",0x0,R/W
"",,,,,DLL_LOCK shows current status. If EN_DLL_,,
"",,,,,"LOCK is high, IRQ_DLL_LOCK latches and",,
"",,,,,pulls the IRQx pin low (x = MUX_DLL_LOCK,,
"",,,,,setting). Writing a 1 to IRQ_DLL_LOCK when,,
"",,,,,latched clears the bit.,,
"",,[3:2],RESERVED,,Reserved.,0x0,R/W
"",,1,IRQ_PLL_LOST,,"DAC PLL lock lost. If EN_PLL_LOST is low,",0x0,R/W
"",,,,,IRQ_PLL_LOST shows the current status. If,,
"",,,,,"EN_PLL_LOST is high, IRQ_PLL_LOST latches",,
"",,,,,and pulls the IRQx pin low (x = MUX_PLL_,,
"",,,,,LOST setting). Writing a 1 to IRQ_PLL_,,
"",,,,,LOST when latched clears the bit.,,
Addr.,Name,Bits,Bit Name,Settings,Description,Reset,Access
"",,0,IRQ_PLL_LOCK,,"DAC PLL locked. If EN_PLL_LOCK is low, IRQ_",0x0,R/W
"",,,,,PLL_LOCK shows the current status. If EN_,,
"",,,,,"PLL_LOCK is high, IRQ_PLL_LOCK latches",,
"",,,,,and pulls the IRQx pin low (x = MUX_PLL_,,
"",,,,,LOCK setting). Writing a 1 to IRQ_PLL_LOCK,,
"",,,,,when latched clears the bit.,,
0x028,IRQ_OUTPUT_MUX,[7:5],RESERVED,,Reserved.,0x0,R
"",,4,MUX_SYSREF_,,"If EN_SYSREF_JITTER is set, this control",0x0,R/W
"",,,JITTER,,chooses the IRQx output pin on which the,,
"",,,,,event is triggered.,,
"",,,,0,Route IRQ trigger signal to the IRQ0 pin.,,
"",,,,1,Route IRQ trigger signal to the IRQ1 pin.,,
"",,3,MUX_DATA_READY,,"If EN_DATA_READY is set, this control",0x0,R/W
"",,,,,chooses the IRQx output pin on which the,,
"",,,,,event is triggered.,,
"",,,,0,Route IRQ trigger signal to the IRQ0 pin.,,
"",,,,1,Route IRQ trigger signal to the IRQ1 pin.,,
"",,2,MUX_LANE_FIFO,,"If EN_LANE_FIFO is set, this control chooses",0x0,R/W
"",,,,,the IRQx output pin on which the event is,,
"",,,,,triggered.,,
"",,,,0,Route IRQ trigger signal to the IRQ0 pin.,,
"",,,,1,Route IRQ trigger signal to the IRQ1 pin.,,
"",,1,MUX_PRBSQ,,"If EN_PRBSQ is set, this control chooses the",0x0,R/W
"",,,,,IRQx output pin on which the event is,,
"",,,,,triggered.,,
"",,,,0,Route IRQ trigger signal to the IRQ0 pin.,,
"",,,,1,Route IRQ trigger signal to the IRQ1 pin.,,
